NewsPaper Name,Location / Area,Dist. Frequency
1960 Sun,"Houston, TX",Weekly
20 de Mayo,"Los Angeles, CA",Weekly
24 Hours Vancouver,"Vancouver, BC",
50+ [News Tribune],"Tacoma, WA",Daily
8 Magazine [Anchorage Daily News],"Anchorage, AK",Daily
A & E [Albuquerque Tribune],"Albuquerque, NM",Daily
A & E [Oregonian],"Portland, OR",Daily
Abbeville Meridional,"Abbeville, LA",
Aberdeen American News,"Aberdeen, SD",
Abilene Reflector Chronicle,"Abilene, KS",
Abilene Reflector-Chronicle,"Abilene, KS",Daily
Abilene Reporter News,"Abilene, TX",Daily
Abilene Reporter News – Washington Bureau,"Washington, DC",Daily
Abilene Reporter-News,"Abilene, TX",
Abilene Reporter-News,"Washington, DC",
Accent [Arizona Daily Star],"Tucson, AZ",Daily
Accent [Columbus Dispatch],"Columbus, OH",Daily
Accent [Greeneville Sun],"Greeneville, TN",Daily
Accent [Orange County Register],"Santa Ana, CA",Daily
Accent [Savannah Morning News],"Savannah, GA",Daily
Accent [Shawano Leader],"Shawano, WI",Daily
Accent [Star-Ledger],"Newark, NJ",Daily
Accent and Arts [Columbus Dispatch],"Columbus, OH",Daily
Accent on Choices [Columbus Dispatch],"Columbus, OH",Daily
Accent on Style [Columbus Dispatch],"Columbus, OH",Daily
Acorn,"Agoura Hills, CA",Weekly
Active Life [Amarillo Globe-News],"Amarillo, TX",Daily
Active Times [Cleburne Times-Review],"Cleburne, TX",Daily
Acworth Neighbor,"Marietta, GA",Weekly
Ada Evening News,"Ada, OK",
Ada Herald,"Ada, OH",
Adams County Free Press,"Corning, IA",
Addison County Independent,"Middlebury, VT",
Addison Eagle,"Middlebury, VT",Weekly
Adirondack Daily Enterprise,"Saranac Lake, NY",
Adit,"Helena, MT",Weekly
Ad-Net Community News – Greece Edition,"Rochester, NY",Weekly
Ad-Pak,"Wilmington, NC",Weekly
Advance Newspapers,"Jenison, MI",
Advantage,"Vidalia, GA",Weekly
Adventist Review,"Hagerstown, MD",Weekly
Advertiser,"Oxford, MI",Weekly
Advertiser,"Sun Prairie, WI",Weekly
Advertiser,"Whitefish, MT",Weekly
Advertiser,"Maysville, KY",Weekly
Advertiser,"New York, NY",Weekly
Advertiser,"Averill Park, NY",Weekly
Advertiser Extra,"Laurens, SC",Weekly
Advertiser Times,"Warren, MI",
Advertiser-Tribune,"Tiffin, OH",
Advisor,"Attleboro, MA",Weekly
Advisor,"North Haven, CT",Weekly
"Advisor – Fraser, Roseville & Saint Clair Shores","Shelby Township, MI",Weekly
"Advisor – Mt. Clemens, Macomb, Clinton, & Harrison","Shelby Township, MI",Weekly
Advocate,"Baton Rouge, LA",
Advocate,"Stamford, CT",
Advocate,"Newark, OH",
Advocate,"Orlando, FL",
Advocate,"Lafayette, LA",
Advocate,"North Adams, MA",Weekly
Advocate – Acadiana Bureau,"Lafayette, LA",Daily
Advocate – Baker-Zachary Bureau,"Baker, LA",Daily
Advocate – Denham Springs Bureau,"Denham Springs, LA",Daily
Advocate – Gonzales Bureau,"Gonzales, LA",Daily
Advocate – Metairie Bureau,"Metairie, LA",Daily
Advocate – Port Allen Bureau,"Port Allen, LA",Daily
Advocate – Washington Bureau,"Washington, DC",Daily
Advocate-Democrat,"Sweetwater, TN",
Advocate-Messenger,"Danville, KY",
Aegis,"Bel Air, MD",Weekly
Aerotech News And Review,"Lancaster, CA",Weekly
African Community News Digest,"Houston, TX",Weekly
African News Digest,"Houston, TX",
African-American News & Issues,"Houston, TX",Weekly
African-American Times,"Chicago, IL",Weekly
Afro Times,"Brooklyn, NY",Weekly
Afro-American Times,"Brooklyn, NY",Weekly
Ag Monday [Salinas Californian],"Salinas, CA",Daily
Agriculture [Daily News],"Richmond, MO",Daily
Agriculture [News-Press],"Stillwater, OK",Daily
Agriculture Business [Mount Pleasant News],"Mount Pleasant, IA",Daily
Ahora Si!,"Austin, TX",Weekly
Ahwatukee Foothills News,"Phoenix, AZ",Weekly
Aiken Standard,"Aiken, SC",
Akron Beacon Journal,"Akron, OH",
Akron Beacon Journal – Canton Bureau,"Canton, OH",Daily
Akron Legal News,"Akron, OH",Daily
Al Dia,"Dallas, TX",
Al Dia,"Philadelphia, PA",Weekly
Alameda Journal,"Alameda, CA",Weekly
Alameda Sun,"Alameda, CA",Weekly
Alameda Times Star,"Oakland, CA",Daily
Alameda Times-Star,"Oakland, CA",
Alamogordo Daily News,"Alamogordo, NM",
Alaska Star,"Eagle River, AK",
Albany Democrat-Herald,"Albany, OR",Daily
Albany Herald,"Albany, GA",
Albert Lea Tribune,"Albert Lea, MN",
Albion Adviser,"Albion, NE",Weekly
Albion Recorder,"Albion, MI",Daily
Albuquerque Journal,"Albuquerque, NM",
Albuquerque Journal,"Santa Fe, NM",
Albuquerque Journal – Santa Fe Bureau,"Santa Fe, NM",Daily
Albuquerque Journal – Washington Bureau,"Washington, DC",Daily
Albuquerque Tribune,"Albuquerque, NM",
Albuquerque Tribune – Washington Bureau,"Washington, DC",Daily
Alexander City Outlook,"Alexander City, AL",Daily
Alexandria Daily Town Talk,"Alexandria, LA",
Alexandria Times,"Alexandria, VA",Weekly
Alhambra Post-Advocate,"Los Angeles, CA",Weekly
Alice Echo News,"Alice, TX",Daily
Alice Echo-News Journal,"Alice, TX",
Alleghany News,"Sparta, NC",
Alliance Review,"Alliance, OH",
Alliance Review – Columbus Bureau,"Columbus, OH",Daily
Alliance Times-Herald,"Alliance, NE",Daily
Almaden Times,"San Jose, CA",Daily
Almanac,"McMurray, PA",
Almanac,"Menlo Park, CA",
Almanac,"Canonsburg, PA",Weekly
Alpena News,"Alpena, MI",Daily
Alpharetta Neighbor,"Roswell, GA",Weekly
Alpharetta-Roswell Revue,"Alpharetta, GA",Weekly
Alpine Sun,"Alpine, CA",Weekly
Altamont Enterprise & Albany County Post,"Altamont, NY",
Altoona Mirror,"Altoona, PA",
Altus Times,"Altus, OK",
Alva Review-Courier,"Alva, OK",
am New York,"New York, NY",
Amarillo Globe-News,"Amarillo, TX",
Amarillo Independent,"Amarillo, TX",
Amboy Beacon,"South Amboy, NJ",Weekly
America Oggi,"Westwood, NJ",
American Banker,"New York, NY",Daily
American Banker – Chicago Bureau,"Chicago, IL",Daily
American Banker – Washington Bureau,"Washington, DC",Daily
American Metal Market – Philadelphia Bureau,"Wayne, PA",Daily
American Metal Market – Washington Bureau,"Washington, DC",Daily
American News,"Aberdeen, SD",Daily
American Press,"Lake Charles, LA",Daily
American Profile,"Franklin, TN",Daily
American River Messenger,"Citrus Heights, CA",Weekly
American Weekend [Daily Register],"Harrisburg, IL",Daily
American Weekend [Du Quoin Evening Call],"Du Quoin, IL",Daily
American Weekend [Ridgway Record],"Ridgway, PA",Daily
Americus Times-Recorder,"Americus, GA",
Amherst Bee,"Williamsville, NY",Weekly
Amherst Bulletin,"Amherst, MA",
Amigo Publications,"Lubbock, TX",
Amsterdam News,"New York, NY",Weekly
Anadarko Daily News,"Anadarko, OK",Daily
Anaheim Bulletin,"Anaheim, CA",Weekly
Anchor,"Fall River, MA",Weekly
Anchorage Daily News,"Anchorage, AK",
Anchorage Daily News,"Wasilla, AK",
Anchorage Daily News – Juneau Bureau,"Juneau, AK",Daily
Anchorage Daily News – Palmer Bureau,"Wasilla, AK",Daily
Anchorage Daily News – Washington Bureau,"Washington, DC",Daily
Anchorage Press,"Anchorage, AK",
Andalusia Star News,"Andalusia, AL",
Anderson Independent-Mail,"Anderson, SC",
Anderson Independent-Mail,"Lavonia, GA",
"Animas Publishing, Inc.","Cortez, CO",
Ann Arbor News,"Ann Arbor, MI",
Ann Arbor News,"Bloomfield Hills, MI",
Ann Arbor News,"Lansing, MI",
Ann Arbor News – Lansing Bureau,"Lansing, MI",Daily
Ann Arbor News – Washington Bureau,"Washington, DC",Daily
Anna Maria Island Sun,"Anna Maria, FL",
Anniston Star,"Anniston, AL",
Antelope Valley Press,"Palmdale, CA",
Anthem View [Las Vegas Review-Journal],"Las Vegas, NV",Daily
Antigo Daily Journal,"Antigo, WI",
Anton Community Newspapers,"Mineola, NY",
Apache Junction/Gold Canyon Independent,"Apache Junction, AZ",Weekly
Apalachicola Publishing Company,"Apalachicola, FL",
Appalachian News-Express,"Pikeville, KY",
Appeal-Democrat,"Marysville, CA",
Appen Newspapers,"Alpharetta, GA",
Arbutus/Catonsville Times,"Baltimore, MD",
Arcadia Weekly,"Arcadia, CA",Weekly
Archdale-Trinity News,"Archdale, NC",
"Area Merchandiser Greater Reading Zones 1, 2, and 3","Lebanon, PA",Weekly
Area Merchandiser Hanover Edition,"Lebanon, PA",Weekly
Area Merchandiser Hershey Edition,"Lebanon, PA",Weekly
Area Merchandiser Lebanon Edition,"Lebanon, PA",Weekly
Area Merchandiser Myerstown Edition,"Lebanon, PA",Weekly
